bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
3.91353,4.20605,-1.88061,0.627577,0.523272,0,0,0,0.706,74,1.87574,0.50391,5.95084,-1.48837,7.68397,10.2602,5.33837,13.0985,-15.1644,-6.47929,-11.7676,-0.654959,-0.00484438,12.7244,-13.8943,
-1.04016,-7.36315,12.9072,0.627779,0.444199,0,0,0,0.608,75,2.75463,2.06812,0.683189,1.51482,12.5038,-9.90511,10.919,8.50556,-16,-3.1253,5.73144,-1.59174,7.84269,13.7508,1.30802,
-5.20356,9.06611,3.802,0.626703,0.592224,0,0,0,1.0,76,4.46086,3.03112,3.28875,6.15781,9.52428,-10.566,14.3172,-9.67736,-8.01777,2.70894,-9.48181,-2.36619,10.1033,15.5362,-14.9416,
11.3166,12.034,-12.0691,0.626592,0.441922,0,0,0,0.412,77,5.28457,2.54502,8.51587,-7.76054,0.293069,10.7987,8.43213,-0.534606,-7.92092,-16,-14.4847,7.87034,6.13288,11.0389,-16,
5.79188,7.53868,-10.8361,0.627421,0.301598,0,0,0,0.078,78,8.52845,7.49998,1.41273,-7.58267,-10.1741,4.9671,12.6229,9.34854,-7.02579,-8.06987,-3.06992,14.8965,9.99652,12.6436,-5.76822,
5.67352,13.7361,-6.93455,0.627292,0.457199,0,0,0,0.529,79,2.90905,4.51697,5.46758,14.6043,6.24314,2.74523,1.29426,-7.38826,-6.96951,-10.7053,-13.804,4.74525,15.9858,15.8518,-16,
5.59175,5.71532,0.636091,0.627313,0.530728,0,0,0,0.725,80,7.63112,4.47328,3.19784,0.549125,-7.43488,4.12279,1.82115,12.8895,-15.3029,-6.47432,-3.64748,0.444575,10.2374,14.2022,-6.6867,
-9.27837,12.2721,-13.2698,0.627712,0.363862,0,0,0,0.392,81,0.578425,3.21638,5.57351,8.41206,-3.45562,-3.10913,15.2441,11.839,6.09932,-0.673215,-15.8777,11.1732,6.33331,14.4062,-14.8476,
9.7749,3.99903,7.37209,0.62708,0.509327,0,0,0,0.686,82,3.16592,3.35899,2.41314,-5.29783,9.95085,-15.9969,12.8982,-4.65682,-8.07073,-13.8739,-4.11744,-5.39503,2.81611,16,-15.9997,
-3.6465,13.5947,6.09271,0.627616,0.517388,0,0,0,0.725,83,6.24584,2.38562,2.29305,-9.04948,4.75785,1.76074,15.5203,-2.55276,-15.7714,4.00781,-15.992,-4.73365,1.71724,15.999,-6.90231,
