bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
0.0713048,-0.419808,-0.515722,0.626555,0.625069,1,1,1,1.0,67,2.71439,0.921987,4.32866,15.9311,10.0536,-3.31696,12.0517,1.43282,-15.985,-9.35639,-1.34268,3.78699,15.9043,13.381,-15.8642,
1.20183,-0.695685,-0.00948947,0.622836,0.620278,1,1,1,1.0,68,6.54249,5.99366,5.74028,-3.3006,-4.72805,2.28165,8.84189,14.578,-16,-3.43971,6.4145,1.54529,3.09367,15.8349,-11.1303,
4.5321,-2.24257,1.7526,0.61473,0.613817,1,1,1,1.0,69,6.63879,0.677012,7.50024,-12.3149,13.5716,-3.39856,15.2495,13.2311,-4.68106,-6.56802,-13.0785,-6.55175,1.24728,15.1693,-16,
0.909241,0.248792,0.929374,0.62379,0.620815,1,1,1,1.0,70,7.02943,6.51112,2.80705,0.550317,-7.91455,-6.59594,15.9747,15.9894,-15.1412,-4.08851,5.0706,3.56359,12.7613,16,-11.3387,
2.98123,-2.24454,3.18027,0.615971,0.61373,1,1,1,1.0,71,7.40346,7.73664,2.10213,-11.9576,6.39237,-12.0417,12.6802,4.51948,-8.91125,-2.91924,3.98152,3.1108,0.365891,15.903,-14.8603,
0.00907342,2.7256,2.29375,0.623933,0.625891,1,1,1,1.0,72,1.89916,2.34999,1.20802,15.4362,9.47731,-15.9962,8.91377,-0.126999,-4.7467,-8.67862,-8.0728,-1.13177,14.5995,15.9403,-15.5084,
-1.16859,1.39809,3.76883,0.614271,0.613712,1,1,1,1.0,73,6.39122,4.60076,7.64284,-4.00869,2.46399,1.08002,15.6909,6.44489,-16,0.285023,-2.23265,-7.98746,4.66917,15.8116,-15.9886,
-1.1593,3.2653,1.28908,0.624757,0.624487,1,1,1,1.0,74,2.78518,0.935469,0.719685,2.21366,-0.803909,-12.6745,13.6867,10.8332,1.00246,-4.24787,-14.6171,-0.381752,6.28119,1.45232,-13.132,
1.97274,0.313256,0.569757,0.625671,0.625804,1,1,1,1.0,75,2.64009,0.555199,1.03606,11.5168,10.4736,-11.3741,14.6228,7.42507,-2.78789,-13.5565,-8.82401,2.08806,16,8.68664,-15.7447,
1.97301,3.49674,2.44377,0.617681,0.623917,1,1,1,1.0,76,1.63207,0.5,3.53672,4.94968,13.5483,-3.72305,7.81083,-2.0149,-15.8529,-10.9698,-15.6084,-3.87474,4.53094,15.9766,-15.7419,
0.654244,1.78495,0.419216,0.624379,0.625283,1,1,1,1.0,77,1.80507,0.56023,1.20079,15.9826,8.05703,-7.27087,2.71111,1.9772,-7.02849,-7.98847,-12.8838,2.20614,11.3585,-0.796927,-15.9856,
0.382609,1.41162,4.84558,0.622189,0.623034,1,1,1,1.0,78,8.11198,1.37156,3.01445,-1.08281,1.47345,-10.843,15.9848,10.0675,-15.9924,-2.26683,-6.6577,-5.12009,14.4734,13.6576,-15.5604,
1.04789,-1.17079,-0.778179,0.624544,0.623614,1,1,1,1.0,79,1.14314,3.75805,2.75513,10.3251,8.95784,-10.4812,12.0189,3.02376,-7.24596,-15.641,2.95804,3.36489,4.17275,16,-15.8197,
-0.701856,1.78738,3.01228,0.618748,0.621732,1,1,1,1.0,80,4.31479,2.53112,2.22373,-9.98149,3.62259,-9.79093,15.9691,5.84885,-10.2796,3.32086,-7.48347,-1.71452,0.416035,12.2503,-15.9639,
1.91199,3.40745,2.35204,0.616189,0.622224,1,1,1,1.0,81,3.67385,1.17857,1.15452,-5.40536,12.431,-10.5348,16,-1.44638,-10.0671,-10.9165,-12.4181,-2.58923,6.36382,14.5217,-16,
-0.925297,2.05357,2.36331,0.622196,0.622699,1,1,1,1.0,82,9.99582,1.05267,2.74861,-0.221944,1.54681,-2.20455,14.5364,11.1217,-15.815,0.373863,-7.55107,1.06189,15.4472,15.3781,-6.71196,
0.980304,1.97007,2.00838,0.622759,0.621848,1,1,1,1.0,83,2.9325,0.5,5.55735,2.9398,4.59873,-3.8558,11.4368,8.90878,-13.5573,-5.9423,-15.249,-5.14014,4.43724,16,-16,
3.43298,1.94762,2.75517,0.62087,0.624605,1,1,1,1.0,84,0.944998,1.8274,0.695521,2.54329,11.6009,-13.7947,2.78092,-2.09789,-11.4915,-15.7281,-9.35261,-0.239394,1.56526,13.9669,-15.0224,
-0.773105,1.89428,0.547107,0.624655,0.626314,1,1,1,1.0,85,6.77002,1.71626,1.94523,-7.55852,4.76123,-1.85404,15.8403,12.9423,-10.6381,3.45632,-12.473,-0.47739,10.1778,10.2453,-15.8328,
-1.84624,4.89141,-0.11779,0.62617,0.626459,1,1,1,1.0,86,9.86047,0.877869,0.521065,7.23069,5.98226,-15.7929,8.03846,-1.89881,0.0948442,1.35172,-15.4781,9.59126,15.1204,15.7706,-10.7837,
-2.52668,3.47951,0.577918,0.626195,0.626828,1,1,1,1.0,87,1.49906,1.11712,2.05354,15.7648,11.0929,-6.63202,9.60891,6.28227,-5.98994,-4.03653,-15.9691,-0.149338,12.7138,9.97657,-15.779,
0.51396,2.40109,4.28846,0.626248,0.625489,1,1,1,1.0,88,9.30337,0.5,0.826179,-2.54711,6.62396,-14.7169,11.2352,5.04626,-3.98223,0.2062,-15.675,-0.749707,15.596,-4.00128,-15.2592,
0.427113,-1.19016,0.174628,0.627216,0.62602,1,1,1,1.0,89,3.35427,3.1646,0.680234,-10.6588,8.07113,-10.0886,15.6999,5.86938,-8.19911,2.29249,-2.81002,8.7278,-1.76077,15.9847,-8.05749,
